Larval_ID,Sex,Family,Full_Treatment,Photo_Treatment,Diet_Treatment,5th_Day,Photo_Day,Blocking_Day,Devo_Time,Eclosion_Date,Devo_Time2,Gray_Value_R,Gray_Value_G,Gray_Value_B,Avg_Gray,Avg_Gray_2,Darkness,Percent_R,Percent_G,Percent_B,Avg_Percent,Avg_Percent_Melanin,Total_Melanin_Metric,Notes
T133,M,25,LongPhotoLowTyr,Long,Low,5/27/23,5/30/23,6/3/23,7,6/28/23,25,17.405,17.340,16.300,17.015,17.373,11.628,6.872,7.014,9.072,7.653,6.943,88.981,pupa severe deform
T134,F,25,LongPhotoLowTyr,Long,Low,5/27/23,5/30/23,6/3/23,7,6/26/23,23,13.426,13.372,15.843,14.214,13.399,15.601,11.176,11.224,18.097,13.499,11.200,210.598,"pupa short wings, used photo b"
T135,,25,LongPhotoLowTyr,Long,Low,5/27/23,5/30/23,,,,,18.305,17.717,17.533,17.852,18.011,10.989,3.805,4.074,6.778,4.886,3.940,53.689,
T136,,25,LongPhotoLowTyr,Long,Low,5/27/23,5/30/23,,,,,17.228,16.105,20.629,17.987,16.667,12.334,6.570,5.943,14.830,9.114,6.257,112.412,used photo b
T137,F,34,LongPhotoLowTyr,Long,Low,5/27/23,5/30/23,6/3/23,7,6/26/23,23,13.720,13.620,15.945,14.428,13.670,15.330,10.876,10.822,16.930,12.876,10.849,197.389,pupa short wings
T138,M,34,LongPhotoLowTyr,Long,Low,5/27/23,5/30/23,6/4/23,8,6/27/23,23,17.864,17.500,17.743,17.702,17.682,11.318,5.487,5.296,8.347,6.377,5.392,72.171,
T139,,,LongPhotoLowTyr,Long,Low,,,,,,,14.192,13.747,16.566,14.835,13.970,15.031,7.648,7.618,12.864,9.377,7.633,140.936,
T140,,34,LongPhotoLowTyr,Long,Low,5/27/23,5/30/23,,,,,17.347,17.019,17.176,17.181,17.183,11.817,5.245,5.390,8.221,6.285,5.318,74.274,used photo b
T141,M,34,LongPhotoLowTyr,Long,Low,5/27/23,5/30/23,6/2/23,6,6/26/23,24,15.398,15.216,15.398,15.337,15.307,13.693,5.813,5.716,7.746,6.425,5.765,87.978,
T142,F,34,LongPhotoLowTyr,Long,Low,5/27/23,5/30/23,6/3/23,7,6/30/23,27,15.110,14.614,19.161,16.295,14.862,14.138,7.536,7.177,15.516,10.076,7.357,142.459,pupa short wings
