Larval_ID,fore_gray_R,fore_gray_G,fore_gray_B,fore_gray,fore_darkness,hind_gray_R,hind_gray_G,hind_gray_B,hind_gray,hind_darkness,hind_percent_R,hind_percent_B,hind_percent_G,hind_percent,notes,exposure
T413,36.451,32.505,26.943,31.96633333,223.0336667,5.555,7.119,8.145,6.939666667,12.06033333,34.304,37.275,40.076,37.21833333,,
T438,35.809,32.437,27.571,31.939,223.061,6.852,8.348,9.396,8.198666667,10.80133333,33.264,35.813,38.74,35.939,,
T426,36.815,32.49,26.501,31.93533333,223.0646667,6.345,7.454,7.947,7.248666667,11.75133333,37.341,40.448,44.149,40.646,,
T121,35.762,32.587,27.308,31.88566667,223.1143333,5.518,7.028,8.212,6.919333333,12.08066667,26.146,27.593,28.817,27.51866667,,
T238,37.085,32.378,25.812,31.75833333,223.2416667,8.308,8.722,8.102,8.377333333,10.62266667,34.869,38.218,41.863,38.31666667,,
T231,37.201,32.346,25.679,31.742,223.258,7.671,7.96,7.759,7.796666667,11.20333333,32.527,35.468,39.346,35.78033333,,
T230,36.109,32.103,26.813,31.675,223.325,6.995,7.749,8.189,7.644333333,11.35566667,31.498,34.485,37.972,34.65166667,,
T273,35.818,32.209,26.912,31.64633333,223.3536667,9.016,9.774,9.969,9.586333333,9.413666667,34.368,36.967,40.061,37.132,,
T209,35.988,31.821,25.797,31.202,223.798,9.586,10.142,9.906,9.878,9.122,33.778,36.714,40.553,37.015,,90 overexposed in R
T313,36.751,31.477,24.667,30.965,224.035,8.939,9.226,8.807,8.990666667,10.00933333,28.365,32.075,35.676,32.03866667,,
T423,34.927,31.41,26.061,30.79933333,224.2006667,6.251,7.722,8.537,7.503333333,11.49666667,35.01,38.089,41.969,38.356,,
T465,35.407,31.299,25.594,30.76666667,224.2333333,6.431,7.663,8.251,7.448333333,11.55166667,38.236,41.64,45.057,41.64433333,,
T223,36.235,31.133,24.302,30.55666667,224.4433333,7.475,7.857,7.552,7.628,11.372,33.069,36.957,40.696,36.90733333,,
T112,35.957,31.246,24.299,30.50066667,224.4993333,6.439,7.134,6.696,6.756333333,12.24366667,31.105,35.743,39.846,35.56466667,,
T477,36.014,30.938,24.464,30.472,224.528,10.128,9.777,8.889,9.598,9.402,33.555,37.285,41.585,37.475,area on R HW only,
T166,30.432,30.923,30.001,30.452,224.548,4.701,6.953,10.574,7.409333333,11.59066667,,,,,hindwings tattered so no area measure,
T434,35.767,30.986,24.478,30.41033333,224.5896667,12.436,12.382,11.56,12.126,6.874,23.431,27.836,34.165,28.47733333,,
T432,34.052,30.85,26.239,30.38033333,224.6196667,6.609,8.097,9.104,7.936666667,11.06333333,34.578,37.028,39.897,37.16766667,,
T463,34.133,30.8,25.796,30.243,224.757,5.845,7.516,8.595,7.318666667,11.68133333,39.677,43.608,47.871,43.71866667,,
T472,35.21,30.599,24.702,30.17033333,224.8296667,9.286,9.569,9.418,9.424333333,9.575666667,34.285,37.652,41.269,37.73533333,,
T229,34.232,30.364,25.233,29.943,225.057,5.931,7.353,8.156,7.146666667,11.85333333,33.776,35.927,38.268,35.99033333,left hindwing only,
T144,33.399,30.171,25.259,29.60966667,225.3903333,4.023,5.348,6.398,5.256333333,13.74366667,31.802,35.646,38.609,35.35233333,hindwing area right only-  left hindwing damaged,90 overexposed in R
T173,33.88,30.041,24.672,29.531,225.469,6.104,7.263,7.819,7.062,11.938,35.342,38.312,40.968,38.20733333,,
T371,33.355,30.04,25.109,29.50133333,225.4986667,5.821,7.15,7.904,6.958333333,12.04166667,32.38,35.063,37.333,34.92533333,,
T170,31.532,29.357,26.059,28.98266667,226.0173333,5.097,6.859,8.709,6.888333333,12.11166667,31.257,32.787,33.404,32.48266667,,
T271,32.523,29.101,24.168,28.59733333,226.4026667,4.955,6.538,7.738,6.410333333,12.58966667,38.434,42.1,46.03,42.188,,
T260,32.084,28.827,24.154,28.355,226.645,7.89,9.129,8.846,8.621666667,10.37833333,35.731,38.253,40.598,38.194,,
T427,32.326,28.523,22.988,27.94566667,227.0543333,8.88,9.346,9.119,9.115,9.885,34.293,38.249,43.331,38.62433333,,
T224,29.033,27.944,25.943,27.64,227.36,2.894,4.393,7.028,4.771666667,14.22833333,34.666,37.445,36.413,36.17466667,,
T210,27.993,27.621,26.772,27.462,227.538,2.917,4.815,9.088,5.606666667,13.39333333,40.164,41.216,38.901,40.09366667,left hindwing only,
T270,30.688,27.692,23.245,27.20833333,227.7916667,4.86,6.482,7.715,6.352333333,12.64766667,38.686,42.128,45.045,41.953,,
T216,31.057,27.462,22.559,27.026,227.974,5.75,6.693,7.429,6.624,12.376,28.801,31.489,33.833,31.37433333,,
T169,28.574,26.419,23.451,26.148,228.852,3.294,4.625,6.399,4.772666667,14.22733333,42.322,45.552,46.337,44.737,,
T220,28.478,26.474,23.132,26.028,228.972,4.136,5.207,6.514,5.285666667,13.71433333,45.802,48.548,50.514,48.288,right hindwing only for area b/c left hindwing torn,
T245,25.968,24.25,20.89,23.70266667,231.2973333,4.284,5.584,6.804,5.557333333,13.44266667,43.343,46.267,48.651,46.087,,
T133,,,,,,,,,,,,,,,wings too damaged,
T222,,,,,,,,,,,,,,,wings too damaged,
T429,,,,,,,,,,,,,,,wings too damaged,
T476,,,,,,,,,,,,,,,wings too damaged,
