ID,diet_treatment,photo_mass,devo_total_time,devo_5th_length,blocking_mass,melanin_percent,darkness,Melanin_Metric
247,MEDIUM,2.0452,41,13,2.3766,73.82,22.77,1680.9573
248,MEDIUM,1.6164,47,15,2.2823,58.02,22.57,1309.5114
250,MEDIUM,1.8291,45,13,2.5608,69.17,22.74,1572.619444
251,MEDIUM,1.1253,40,15,1.5581,77.10,20.62,1590.127744
252,MEDIUM,2.1508,39,14,2.2942,80.04,23.11,1849.647367
253,MEDIUM,2.0985,40,15,2.8301,73.29,21.77,1595.7676
254,MEDIUM,1.2249,45,17,1.0673,75.97,23.43,1779.899
255,MEDIUM,1.1057,48,18,1.5744,85.01,23.89,2030.525911
258,MEDIUM,1.1986,43,14,1.3598,67.50,21.77,1469.7
259,MEDIUM,1.9109,38,14,1.9109,81.28,23.31,1894.365867
260,MEDIUM,1.6427,45,17,2.3565,79.44,22.94,1822.165256
