ID,diet_treatment,egg_day,4th_mass_before ,4th_mass_after,4th_mass_change,4th_food_before,4th_food_after,4th_food_change,4th_food_dry,5th_day,5th_mass_before,5th_mass_after,5th_mass_change,5th_food_before,5th_food_after,5th_food_change,5th_food_dry,photo_day,photo_mass,blocking_day,devo_total,devo_5th,blocking_mass,larval_notes,R_percent,G_percent,B_percent,avg_percent_noB,avg_percent,R_gray,G_gray,B_gray,avg_gray,avg_gray_noB,darkness,darkness_noB,melanin_metric,melanin_metric_noB,photo_notes
120,LOW,1/9/23,,,,,,,,2/2/23,1076,1468.6,392.6,2557.5,1433.3,1124.2,359.1,2/7/23,3.7693,2/13/23,35.00,11.00,2.6457,,75.97,76.27,78.86,76.12,77.03,11.92,11.89,10.84,11.55,11.91,23.45,23.10,1806.43,1757.99,
121,LOW,1/9/23,,,,,,,,2/4/23,,,,,,,,2/9/23,3.5979,2/16/23,38.00,12.00,3.2015,,66.26,66.82,70.95,66.54,68.01,14.30,14.43,13.67,14.13,14.37,20.87,20.64,1419.14,1373.05,Used photo B
122,LOW,1/9/23,,,,,,,,2/3/23,,,,,,,,2/8/23,3.0179,14-Feb,36.00,11.00,2.5957,,61.55,61.51,70.74,61.53,64.60,14.86,14.84,14.45,14.72,14.85,20.28,20.15,1310.30,1239.83,Used photo B
123,LOW,1/9/23,,,,,,,,2/4/23,,,,,,,,2/9/23,3.0435,2/15/23,37.00,11.00,2.5868,,74.33,75.05,78.52,74.69,75.97,14.38,14.38,14.61,14.46,14.38,20.54,20.62,1560.61,1540.11,
124,LOW,1/9/23,,,,,,,,2/3/23,,,,,,,,2/8/23,3.6459,2/18/23,40.00,15.00,3.2391,,79.43,80.10,84.34,79.77,81.29,10.22,10.38,9.50,10.03,10.30,24.97,24.70,2029.54,1970.20,Used photo B
125,LOW,1/9/23,,,,,,,,2/1/23,,,,,,,,2/6/23,2.8475,13-Feb,35.00,12.00,2.8107,,78.60,79.16,84.05,78.88,80.60,10.97,11.12,10.35,10.81,11.05,24.19,23.96,1949.53,1889.57,
126,LOW,1/9/23,,,,,,,,2/4/23,,,,,,,,2/9/23,4.012,2/15/23,37.00,11.00,3.3857,,58.04,58.37,66.09,58.21,60.83,15.83,15.81,15.29,15.64,15.82,19.36,19.18,1177.53,1116.37,
127,LOW,1/9/23,,,,,,,,2/4/23,,,,,,,,2/9/23,2.5759,2/15/23,37.00,11.00,2.5208,,66.37,67.36,70.63,66.87,68.12,16.01,16.01,14.74,15.59,16.01,19.41,18.99,1322.44,1269.77,
128,LOW,1/9/23,,,,,,,,2/5/23,,,,,,,,2/10/23,2.7806,2/18/23,40.00,13.00,3.2903,,68.16,68.47,77.66,68.32,71.43,14.36,14.39,14.04,14.26,14.38,20.74,20.63,1481.22,1409.00,
129,LOW,1/9/23,,,,,,,,2/9/23,,,,,,,,2/14/23,4.2865,21-Feb,43.00,12.00,3.2936,,84.01,84.42,86.42,84.22,84.95,9.66,9.86,8.89,9.47,9.76,25.53,25.24,2168.77,2125.59,Used OG photo
