ID,diet_treatment,egg_day,4th_mass_before ,4th_mass_after,4th_mass_change,4th_food_before,4th_food_after,4th_food_change,4th_food_dry,5th_day,5th_mass_before,5th_mass_after,5th_mass_change,5th_food_before,5th_food_after,5th_food_change,5th_food_dry,photo_day,photo_mass,blocking_day,devo_total,devo_5th,blocking_mass,larval_notes,R_percent,G_percent,B_percent,avg_percent_noB,avg_percent,R_gray,G_gray,B_gray,avg_gray,avg_gray_noB,darkness,darkness_noB,melanin_metric,melanin_metric_noB,photo_notes
235,MEDIUM,1/10/23,,,,,,,,2/6/23,,,,,,,,2/12/23,1.5623,2/21/23,42.00,15.00,2.1441,photo day late,65.44,67.25,73.76,66.35,68.82,13.02,12.99,12.29,12.77,13.01,22.23,22.00,1530.02,1459.26,used photo B
236,MEDIUM,1/10/23,,,,,,,,2/5/23,857.9,1167.9,310,2905.5,2088.4,817.1,535.6,2/10/23,2.485,Feb-23,40.00,14.00,2.9182,,74.41,75.69,80.51,75.05,76.87,15.24,15.28,14.30,14.94,15.26,20.06,19.74,1542.01,1481.49,
237,MEDIUM,1/10/23,,,,,,,,2/5/23,,,,,,,,2/10/23,1.8553,2/20/23,41.00,15.00,2.5705,,65.00,66.37,71.16,65.69,67.51,14.80,14.83,13.83,14.49,14.82,20.51,20.19,1384.86,1325.85,
238,MEDIUM,1/10/23,,,,,,,,2/8/23,,,,,,,,2/14/23,1.7219,2/23/23,44.00,15.00,2.0351,photo day late,83.11,84.16,86.95,83.64,84.74,10.78,10.72,9.39,10.30,10.75,24.70,24.25,2093.36,2028.15,used photo C
239,MEDIUM,1/10/23,,,,,,,,2/6/23,,,,,,,,2/12/23,2.0439,2/22/23,43.00,16.00,2.3032,,73.04,73.91,79.58,73.48,75.51,13.55,13.49,12.38,13.14,13.52,21.86,21.48,1650.65,1578.24,used photo D
240,MEDIUM,1/10/23,,,,,,,,2/6/23,,,,,,,,2/11/23,2.2922,2/19/23,40.00,13.00,2.1995,,67.16,68.50,73.61,67.83,69.76,15.21,15.02,13.81,14.68,15.12,20.32,19.89,1417.46,1348.80,
241,MEDIUM,1/10/23,,,,,,,,2/9/23,,,,,,,,2/15/23,1.1649,2/26/23,47.00,17.00,1.7283,,82.71,83.46,85.89,83.09,84.02,11.24,11.13,9.90,10.76,11.19,24.24,23.82,2036.92,1978.67,used photo B
242,MEDIUM,1/10/23,,,,,,,,2/8/23,,,,,,,,2/13/23,1.7471,2/23/23,44.00,15.00,2.3495,,80.96,82.20,85.93,81.58,83.03,11.28,11.49,10.31,11.03,11.39,23.97,23.62,1990.51,1926.51,used photo B
243,MEDIUM,1/10/23,,,,,,,,2/10/23,,,,,,,,2/15/23,1.3797,2/26/23,47.00,16.00,2.2128,,69.10,70.70,76.03,69.90,71.94,11.95,11.83,10.93,11.57,11.89,23.43,23.11,1685.63,1615.39,used photo B
244,MEDIUM,1/10/23,,,,,,,,2/7/23,,,,,,,,2/13/23,1.7454,2/22/23,43.00,15.00,2.0044,photo day late,77.15,78.30,81.96,77.73,79.14,11.40,11.48,10.44,11.11,11.44,23.89,23.56,1890.84,1831.20,used photo B
245,MEDIUM,1/10/23,,,,,,,,2/8/23,,,,,,,,2/13/23,1.8251,2/23/23,44.00,15.00,2.5401,,81.22,82.55,87.81,81.89,83.86,11.24,11.31,10.17,10.91,11.28,24.09,23.73,2020.47,1942.72,used photo B
246,MEDIUM,1/10/23,,,,,,,,2/8/23,,,,,,,,2/13/23,1.5649,2/23/23,44.00,15.00,2.0234,,85.42,86.32,89.10,85.87,86.95,8.88,9.07,7.95,8.63,8.98,26.37,26.03,2292.49,2234.77,used photo B
247,MEDIUM,1/10/23,,,,,,,,2/7/23,,,,,,,,2/12/23,2.0452,2/20/23,41.00,13.00,2.3766,,71.34,72.77,77.36,72.06,73.82,12.45,12.48,11.76,12.23,12.47,22.77,22.54,1680.96,1623.76,used photo B
248,MEDIUM,1/10/23,,,,,,,,2/11/23,,,,,,,,2/15/23,1.6164,2/26/23,47.00,15.00,2.2823,photo day early,53.36,55.10,65.60,54.23,58.02,12.51,12.43,12.35,12.43,12.47,22.57,22.53,1309.51,1221.80,used OG photo
249,MEDIUM,1/10/23,,,,,,,,2/9/23,,,,,,,,,,,,,,escape??,,,,,,,,,,,,,,,
250,MEDIUM,1/10/23,,,,,,,,2/11/23,,,,,,,,2/15/23,1.8291,2/24/23,45.00,13.00,2.5608,photo day early,64.85,66.60,76.05,65.73,69.17,12.60,12.37,11.82,12.26,12.49,22.74,22.52,1572.62,1479.80,used photo C
251,MEDIUM,1/11/23,,,,,,,,2/5/23,454.2,630,175.8,2698.2,2203.6,494.6,586.2,2/10/23,1.1253,2/20/23,40.00,15.00,1.5581,,75.04,76.11,80.16,75.58,77.10,14.67,14.77,13.69,14.38,14.72,20.62,20.28,1590.13,1532.66,
252,MEDIUM,1/11/23,,,,,,,,2/5/23,890,1138.4,248.4,2846.7,1979.7,867,516,2/10/23,2.1508,2/19/23,39.00,14.00,2.2942,,78.12,79.07,82.92,78.60,80.04,12.53,12.43,10.71,11.89,12.48,23.11,22.52,1849.65,1769.96,used photo C
253,MEDIUM,1/11/23,,,,,,,,2/5/23,,,,,,,,2/10/23,2.0985,Feb-23,40.00,15.00,2.8301,,70.79,72.09,76.99,71.44,73.29,13.68,13.69,12.31,13.23,13.69,21.77,21.32,1595.77,1522.74,
254,MEDIUM,1/11/23,,,,,,,,2/8/23,,,,,,,,2/14/23,1.2249,2/25/23,45.00,17.00,1.0673,photo day late,73.57,74.85,79.48,74.21,75.97,11.89,11.85,10.97,11.57,11.87,23.43,23.13,1779.90,1716.48,used photo E
255,MEDIUM,1/11/23,,,,,,,,2/10/23,,,,,,,,2/15/23,1.1057,2/28/23,48.00,18.00,1.5744,,82.79,83.91,88.32,83.35,85.01,11.76,11.54,10.04,11.11,11.65,23.89,23.35,2030.53,1946.22,used photo B
256,MEDIUM,1/11/23,,,,,,,,,,,,,,,,,,,,,,not growing,,,,,,,,,,,,,,,
257,MEDIUM,1/11/23,,,,,,,,,,,,,,,,,,,,,,not growing,,,,,,,,,,,,,,,
258,MEDIUM,1/11/23,,,,,,,,2/9/23,,,,,,,,2/14/23,1.1986,2/23/23,43.00,14.00,1.3598,,63.59,64.33,74.58,63.96,67.50,13.42,13.31,12.95,13.23,13.37,21.77,21.64,1469.70,1383.77,used photo C
259,MEDIUM,1/11/23,,,,,,,,2/4/23,,,,,,,,2/9/23,1.9109,2/18/23,38.00,14.00,1.9109,,79.63,80.49,83.72,80.06,81.28,12.10,12.12,10.86,11.69,12.11,23.31,22.89,1894.37,1832.57,
260,MEDIUM,1/11/23,,,,,,,,2/8/23,,,,,,,,2/14/23,1.6427,2/25/23,45.00,17.00,2.3565,photo day late,77.03,78.28,83.02,77.66,79.44,12.42,12.39,11.38,12.06,12.41,22.94,22.60,1822.17,1754.61,
301,HIGH,1/9/23,160.9,254,93.1,2031.8,1717.5,314.3,427.3,2/1/23,,,,,,,,2/6/23,2.6619,2/12/23,34,11,2.3314,,72.91,74.24,80.51,73.58,75.89,12.23,12.05,11.54,11.94,12.14,23.06,22.86,1749.95,1681.92,
302,HIGH,1/9/23,163.4,264.3,100.9,2461.9,2119,342.9,540.2,2/2/23,1409.9,2191.8,781.9,2573.6,764.5,1809.1,191.6,2/7/23,5.4549,2/14/23,36,12,3.7129,,65.57,66.05,71.10,65.81,67.57,14.85,14.72,14.17,14.58,14.79,20.42,20.22,1379.85,1330.35,
303,HIGH,1/9/23,147.4,246.8,99.4,2347.6,2025.5,322.1,504.9,2/3/23,,,,,,,,2/8/23,3.2835,2/16/23,38,13,3.3374,,79.05,79.82,82.12,79.44,80.33,12.17,12.34,11.36,11.96,12.26,23.04,22.75,1851.07,1806.75,
304,HIGH,1/9/23,132,180.2,48.2,2261.3,2094.2,167.1,524.2,2/3/23,,,,,,,,2/8/23,2.6051,2/17/23,39,14,3.1005,,75.51,79.97,82.86,77.74,79.45,14.87,14.91,13.98,14.59,14.89,20.41,20.11,1621.77,1563.35,
305,HIGH,1/9/23,107.5,163,55.5,2024.4,1790.5,233.9,452.9,2/2/23,814,1141.2,327.2,2604,1550,1054,394.3,2/8/23,2.5312,2/13/23,35,11,2.5049,photo one day late,73.24,74.29,76.90,73.77,74.81,12.93,12.85,11.81,12.53,12.89,22.47,22.11,1680.98,1630.94,
306,HIGH,1/10/23,153.2,220.2,67,1922,1662.4,259.6,411.8,2/3/23,,,,,,,,2/8/23,3.3824,,,,,died as larva,,,,,,,,,,,,,,,
307,HIGH,1/10/23,194.1,269.8,75.7,2074.6,1822.2,252.4,449.1,2/3/23,,,,,,,,2/8/23,1.4761,,,,,died as larva,86.34,87.15,89.76,86.75,87.75,12.03,12.24,11.04,11.77,12.14,23.23,22.87,2038.43,1983.42,
308,HIGH,1/10/23,137.2,227.6,90.4,1911.1,1584.7,326.4,404.6,2/3/23,,,,,,,,2/8/23,2.7939,2/19/23,40,16,2.8294,,76.35,77.35,82.18,76.85,78.63,11.63,11.66,10.44,11.24,11.65,23.76,23.36,1867.91,1794.83,
309,HIGH,1/10/23,209.1,325.5,116.4,2211.5,1779.9,431.6,448,2/2/23,1361.3,2041.7,680.4,2718.2,745.3,1972.9,184.1,2/7/23,4.0587,2/13/23,34,11,3.1496,,69.85,70.68,75.79,70.27,72.11,15.81,15.71,14.92,15.48,15.76,19.52,19.24,1407.52,1351.90,
310,HIGH,1/10/23,195.5,301.6,106.1,2081.8,1675.8,406,413.3,2/2/23,1199.2,1768.5,569.3,2482.3,948.8,1533.5,231.7,2/8/23,3.4669,2/13/23,34,11,2.6683,,67.71,68.82,73.28,68.27,69.94,14.65,14.41,13.61,14.22,14.53,20.78,20.47,1453.05,1397.38,
311,HIGH,1/11/23,168.1,237.9,69.8,1880.1,1564.3,315.8,398,2/3/23,,,,,,,,2/8/23,2.986,2/14/23,34,11,2.4065,,76.79,76.95,82.45,76.87,78.73,13.48,13.29,12.60,13.12,13.39,21.88,21.62,1722.35,1661.55,use photo C
312,HIGH,1/11/23,196.8,279.1,82.3,2292.5,1900.7,391.8,469.7,2/4/23,1645.5,2220.5,575,2518.3,1011.4,1506.9,246.8,2/9/23,3.9194,2/16/23,36,12,3.9194,,77.01,78.20,82.24,77.61,79.15,13.08,12.96,12.22,12.75,13.02,22.25,21.98,1760.82,1705.76,
313,HIGH,1/11/23,152,239.6,87.6,2219.5,1889.5,330,478.6,2/4/23,1543.2,2105.6,562.4,3152.8,1638.6,1514.2,412.6,2/9/23,3.773,2/14/23,34,10,3.773,,85.41,86.12,87.83,85.77,86.45,10.92,10.80,9.79,10.50,10.86,24.50,24.14,2117.82,2070.37,use photo B
314,HIGH,1/11/23,288.3,448.4,160.1,2008.4,1453.6,554.8,360.1,2/2/23,1315,2007,692,2559.5,708.8,1850.7,172.8,2/8/23,4.2854,2/12/23,32,10,3.0597,photo one day late,66.54,67.17,70.70,66.86,68.14,15.11,15.00,13.82,14.64,15.06,20.36,19.95,1387.04,1333.42,use photo B
315,HIGH,1/11/23,157.1,263.3,106.2,1877.9,1541.3,336.6,382.4,2/3/23,,,,,,,,2/8/23,3.4742,2/16/23,36,13,2.843,,77.64,77.95,81.79,77.80,79.13,15.81,15.87,14.82,15.50,15.84,19.50,19.16,1542.97,1490.55,
316,HIGH,1/9/23,,,,,,,,2/2/23,1262.9,1869.6,606.7,2662.9,1122.7,1540.2,281.6,2/7/23,4.0957,2/14/23,36,12,3.4648,,72.29,73.07,77.60,72.68,74.32,13.69,13.62,12.86,13.39,13.66,21.61,21.35,1606.06,1551.35,use photo B
317,HIGH,1/9/23,,,,,,,,2/2/23,1002,1471.3,469.3,2615.3,1240.4,1374.9,312.9,2/7/23,3.506,2/15/23,37,13,3.0544,,88.09,88.53,89.97,88.31,88.86,12.12,12.05,11.26,11.81,12.09,23.19,22.92,2060.74,2023.62,
318,HIGH,1/9/23,,,,,,,,2/1/23,,,,,,,,2/6/23,2.9504,2/13/23,35,12,2.6513,,75.01,75.59,77.69,75.30,76.10,12.56,12.56,11.65,12.26,12.56,22.74,22.44,1730.69,1689.73,
319,HIGH,1/9/23,,,,,,,,2/1/23,,,,,,,,2/6/23,2.758,2/14/23,36,13,2.3736,,70.54,71.37,74.43,70.96,72.11,12.51,12.37,11.73,12.20,12.44,22.80,22.56,1643.94,1600.74,
320,HIGH,1/9/23,,,,,,,,2/1/23,,,,,,,,2/6/23,2.8597,2/12/23,34,11,2.1857,,77.30,78.01,80.14,77.66,78.48,12.89,12.92,12.02,12.61,12.91,22.39,22.10,1757.24,1715.79,
321,HIGH,1/9/23,,,,,,,,2/6/23,,,,,,,,2/12/23,1.4536,2/24/23,46,18,1.9777,photo one day late,81.72,82.47,84.36,82.10,82.85,11.30,11.34,10.39,11.01,11.32,23.99,23.68,1987.57,1944.01,use OG photo
322,HIGH,1/9/23,,,,,,,,2/3/23,,,,,,,,2/8/23,2.9879,2/18/23,40,15,3.012,,76.81,77.57,80.36,77.19,78.25,14.72,14.90,13.93,14.52,14.81,20.48,20.19,1602.75,1558.47,
323,HIGH,1/9/23,,,,,,,,2/2/23,,,,,,,,2/7/23,3.442,2/15/23,37,13,2.7681,,73.00,73.96,77.43,73.48,74.80,14.01,13.99,13.34,13.78,14.00,21.22,21.00,1587.19,1543.08,
324,HIGH,1/9/23,,,,,,,,2/4/23,833.4,1160.8,327.4,??,2146.6,,543.3,2/9/23,2.595,2/16/23,38,12,2.6214,,73.00,74.06,78.37,73.53,75.14,11.87,11.70,11.16,11.58,11.79,23.42,23.22,1760.11,1707.00,use OG photo
325,HIGH,1/9/23,,,,,,,,2/2/23,,,,,,,,2/7/23,3.4289,2/14/23,36,12,3.0085,,61.83,62.83,67.03,62.33,63.90,14.47,14.28,13.45,14.07,14.38,20.93,20.63,1337.57,1285.56,
326,HIGH,1/9/23,,,,,,,,2/2/23,,,,,,,,2/7/23,1.9091,2/17/23,39,15,2.5749,,83.11,84.01,86.88,83.56,84.67,11.67,11.65,10.98,11.43,11.66,23.57,23.34,1995.31,1950.29,use photo B
327,HIGH,1/9/23,,,,,,,,2/4/23,,,,,,,,2/9/23,2.8584,2/16/23,38,12,2.4495,,83.50,84.45,87.31,83.98,85.09,12.11,12.01,11.40,11.84,12.06,23.16,22.94,1970.61,1926.39,use photo B
328,HIGH,1/9/23,,,,,,,,2/7/23,,,,,,,,2/12/23,1.7938,2/23/23,45,16,2.2825,,75.31,76.62,80.60,75.97,77.51,13.27,13.16,12.14,12.86,13.22,22.14,21.79,1716.33,1654.90,use photo E
329,HIGH,1/10/23,,,,,,,,2/3/23,,,,,,,,2/8/23,2.5806,2/16/23,37,13,2.6967,,70.78,71.76,73.34,71.27,71.96,15.48,15.50,14.42,15.13,15.49,19.87,19.51,1429.61,1390.48,
330,HIGH,1/10/23,,,,,,,,2/2/23,,,,,,,,2/7/23,2.594,2/13/23,34,11,2.5867,not sure when blocked,67.79,68.57,71.43,68.18,69.26,16.79,16.72,15.75,16.42,16.76,18.58,18.25,1286.91,1243.94,
331,HIGH,1/10/23,,,,,,,,2/2/23,1151.4,1482,330.6,2751.4,1518,1233.4,382.6,2/8/23,3.2817,2/14/23,35,12,3.2817,photo one day late,76.57,77.50,80.66,77.04,78.24,13.85,13.68,12.97,13.50,13.77,21.50,21.24,1682.23,1635.84,
332,HIGH,1/10/23,,,,,,,,2/2/23,,,,,,,,,,,,,,where did this guy go??,,,,,,,,,,,,,,,
333,HIGH,1/10/23,,,,,,,,2/1/23,,,,,,,,2/6/23,2.6235,2/14/23,35,13,2.6933,,81.82,82.61,84.69,82.22,83.04,11.25,11.16,10.20,10.87,11.21,24.13,23.80,2003.76,1956.31,
334,HIGH,1/10/23,,,,,,,,2/2/23,1467.2,2213.9,746.7,2446.5,622.7,1823.8,153.3,2/7/23,2.053,2/13/23,34,11,,,79.67,80.35,83.02,80.01,81.01,13.05,13.21,12.67,12.98,13.13,22.02,21.87,1784.18,1749.82,use photo B
335,HIGH,1/10/23,,,,,,,,2/6/23,,,,,,,,2/11/23,4.5339,2/13/23,34,7,3.3966,,69.07,70.40,76.83,69.74,72.10,14.64,14.53,13.54,14.24,14.59,20.76,20.42,1497.04,1423.64,use photo B
336,HIGH,1/10/23,,,,,,,,2/3/23,,,,,,,,2/8/23,2.2915,2/17/23,38,14,2.3358,,63.74,65.17,71.22,64.46,66.71,15.32,15.25,14.41,14.99,15.29,20.01,19.72,1334.64,1270.73,
337,HIGH,1/10/23,,,,,,,,2/2/23,1010.9,1494.6,483.7,2686,1332.8,1353.2,332,2/7/23,3.2878,2/13/23,34,11,2.2084,,65.13,65.98,70.38,65.56,67.16,16.11,15.81,14.96,15.63,15.96,19.37,19.04,1301.18,1248.17,
338,HIGH,1/10/23,,,,,,,,2/5/23,,,,,,,,2/10/25,3.149,2/18/23,39,13,3.1383,,72.48,73.55,76.57,73.02,74.20,12.19,11.92,11.00,11.70,12.06,23.30,22.95,1728.61,1675.33,use photo B
339,HIGH,1/10/23,,,,,,,,2/4/23,1061.6,1558.9,497.3,2767.5,1533.5,1234,384.9,2/9/23,3.376,2/17/23,38,13,2.9933,,76.28,77.04,79.43,76.66,77.58,12.32,12.87,11.48,12.22,12.60,22.78,22.41,1767.09,1717.57,
340,HIGH,1/10/23,,,,,,,,2/6/23,,,,,,,,2/12/23,1.6574,2/21/23,42,15,2.1525,photo one day late,77.33,78.46,82.00,77.90,79.26,13.63,13.59,12.67,13.30,13.61,21.70,21.39,1720.28,1666.17,use photo B
341,HIGH,1/10/23,,,,,,,,2/7/23,,,,,,,,2/13/23,1.384,2/28/23,49,21,2.3859,photo one day late,81.89,83.30,87.22,82.60,84.14,9.64,9.72,8.98,9.45,9.68,25.55,25.32,2149.97,2091.31,use OG photo
342,HIGH,1/10/23,,,,,,,,2/6/23,,,,,,,,2/10/23,3.1634,Feb-23,40,13,3.9674,photo one day late,76.21,77.29,80.62,76.75,78.04,12.25,12.10,11.13,11.83,12.18,23.17,22.83,1808.45,1751.82,
343,HIGH,1/10/23,,,,,,,,2/4/23,860.5,1197.5,337,3186,2293.2,892.8,591.3,2/9/23,2.2037,2/16/23,37,12,2.027,,67.92,69.08,73.48,68.50,70.16,12.98,12.87,12.01,12.62,12.93,22.38,22.08,1570.18,1512.14,use photo B
344,HIGH,1/10/23,,,,,,,,2/6/23,,,,,,,,2/11/23,1.906,2/20/23,41,14,2.448,,83.90,85.03,87.93,84.47,85.62,11.16,11.02,9.93,10.70,11.09,24.30,23.91,2080.28,2019.56,use photo B
345,HIGH,1/11/23,,,,,,,,2/3/23,,,,,,,,2/8/23,3.4816,14-Feb,34,11,2.6429,,83.20,83.73,85.21,83.47,84.05,13.34,13.27,12.55,13.05,13.31,21.95,21.70,1844.54,1810.77,use photo D
346,HIGH,1/11/23,,,,,,,,2/3/23,,,,,,,,2/8/23,5.0271,2/12/23,32,9,2.2542,,69.11,69.76,73.62,69.44,70.83,16.26,16.20,15.07,15.84,16.23,19.16,18.77,1356.87,1303.29,
347,HIGH,1/11/23,,,,,,,,2/3/23,,,,,,,,2/8/23,3.0092,2/12/23,32,9,2.5103,,68.59,68.15,75.60,68.37,70.78,15.76,15.67,15.22,15.55,15.72,19.45,19.29,1376.67,1318.52,
348,HIGH,1/11/23,,,,,,,,2/3/23,,,,,,,,2/8/23,2.5532,2/14/23,34,11,2.2684,,71.53,72.38,74.90,71.96,72.94,14.62,14.46,13.46,14.18,14.54,20.82,20.46,1518.54,1472.20,
349,HIGH,1/11/23,,,,,,,,2/4/23,,,,,,,,2/9/23,2.8809,2/16/23,36,12,2.3566,,69.18,70.59,73.11,69.89,70.96,14.05,13.77,12.84,13.55,13.91,21.45,21.09,1521.86,1473.87,
350,HIGH,1/11/23,,,,,,,,2/3/23,,,,,,,,2/8/23,3.9194,2/14/23,34,11,2.9907,,78.15,79.27,84.13,78.71,80.52,13.08,12.94,12.30,12.77,13.01,22.23,21.99,1789.62,1730.83,use photo D
351,HIGH,1/11/23,,,,,,,,2/4/23,,,,,,,,2/9/23,3.7493,2/16/23,36,12,2.9779,,81.68,82.31,84.30,82.00,82.76,12.39,12.36,11.33,12.03,12.38,22.97,22.63,1901.35,1855.14,use OG photo
352,HIGH,1/11/23,,,,,,,,2/3/23,,,,,,,,2/8/23,3.9679,2/17/23,37,14,3.3845,,75.08,75.91,80.23,75.50,77.07,14.25,14.24,13.22,13.90,14.25,21.10,20.76,1625.99,1566.90,
353,HIGH,1/11/23,,,,,,,,2/3/23,,,,,,,,2/8/23,3.3711,2/17/23,37,14,2.9675,,80.50,81.07,83.02,80.79,81.53,14.09,14.15,12.98,13.74,14.12,21.26,20.88,1733.33,1686.79,
354,HIGH,1/11/23,,,,,,,,2/4/23,,,,,,,,2/9/23,1.6133,2/16/23,36,12,1.7243,,74.74,76.15,79.54,75.45,76.81,11.96,11.71,10.86,11.51,11.84,23.49,23.17,1804.27,1747.68,use photo C
355,HIGH,1/11/23,,,,,,,,2/9/23,,,,,,,,14-Feb,1.5324,3/6/23,54,25,1.6904,,89.53,90.44,92.47,89.99,90.81,10.24,9.98,8.76,9.66,10.11,25.34,24.89,2301.21,2239.73,
401,LOW-2,1/9/23,117.8,169.7,51.9,2498.2,2296.6,201.6,578,2/5/23,916.2,1276.6,360.4,3037.1,2256.6,780.5,604.4,2/10/23,2.771,2/17/23,39,12,2.5737,,70.26,70.73,77.47,70.50,72.82,11.86,11.86,11.46,11.73,11.86,23.27,23.14,1694.76,1631.25,
402,LOW-2,1/9/23,84.9,125.3,40.4,2444.3,2275.2,169.1,576,2/6/23,,,,,,,,2/12/23,1.2929,2/23/23,45,17,1.7278,photo one day late,77.98,78.41,79.98,78.20,78.79,11.35,11.43,10.36,11.05,11.39,23.95,23.61,1887.28,1846.18,use photo D
403,LOW-2,1/9/23,110.5,171.5,61,2202.8,1950.8,252,496.5,2/3/23,,,,,,,,2/8/23,2.1468,2/17/23,39,14,2.4209,,69.13,69.87,73.55,69.50,70.85,11.30,11.46,10.96,11.24,11.38,23.76,23.62,1683.40,1641.59,
404,LOW-2,1/9/23,112.8,156.1,43.3,1927.9,1737.8,190.1,438.9,2/5/23,811.2,994,182.8,2666.9,2124.6,542.3,564.8,2/10/23,1.6757,Feb-23,42,15,1.9869,,77.93,78.60,81.36,78.27,79.30,11.57,11.81,10.73,11.37,11.69,23.63,23.31,1873.78,1824.36,
405,LOW-2,1/9/23,106.9,160.6,53.7,2074.5,1885,189.5,466.4,2/5/23,955.3,1178.9,223.6,2569,1938.5,630.5,514.6,2/10/23,2.3278,2/18/23,40,13,2.45,,67.25,67.38,72.72,67.32,69.12,13.41,13.60,13.14,13.38,13.51,21.62,21.50,1494.07,1446.94,
406,LOW-2,1/10/23,189.9,285.1,95.2,2025,1729.2,295.8,436.5,2/3/23,,,,,,,,2/8/23,2.8307,2/13/23,34,10,2.3905,,73.79,74.55,78.01,74.17,75.45,12.36,12.56,11.73,12.22,12.46,22.78,22.54,1719.00,1671.79,use OG photo
407,LOW-2,1/10/23,160.3,217,56.7,1997,1728.4,268.6,438.6,2/4/23,1221.6,1569.1,347.5,2776.3,1688.2,1088.1,428.7,2/9/23,3.131,2/15/23,36,11,2.7313,,65.61,65.92,71.84,65.77,67.79,14.61,14.67,14.27,14.52,14.64,20.48,20.36,1388.57,1338.98,
408,LOW-2,1/10/23,155.3,222.6,67.3,2064.8,1808.4,256.4,451.6,2/3/23,,,,,,,,2/8/23,2.4817,2/16/23,37,13,2.4242,,68.54,69.49,76.46,69.02,71.50,12.33,12.42,12.12,12.29,12.38,22.71,22.63,1623.69,1561.46,
409,LOW-2,1/10/23,126.5,181.8,55.3,2003.4,1815,188.4,459.2,2/4/23,1004.9,1237.6,232.7,2808.8,1972,836.8,501.3,2/9/23,2.3595,2/16/23,37,12,2.3432,,79.25,79.67,82.92,79.46,80.61,11.83,11.88,11.03,11.58,11.86,23.42,23.15,1887.96,1839.10,used OG photop
410,LOW-2,1/10/23,157.3,210.1,52.8,2109.3,1881.6,227.7,481.7,2/5/23,,,,,,,,2/10/23,2.6532,2/18/23,39,13,3.0781,,75.39,76.13,80.04,75.76,77.19,12.87,12.99,12.32,12.73,12.93,22.27,22.07,1719.20,1672.02,
411,LOW-2,1/11/23,187.2,264.2,77,2096.9,1767.4,329.5,436.1,2/3/23,,,,,,,,2/8/23,2.7998,2/14/23,34,11,2.3133,,64.73,64.72,69.28,64.73,66.24,13.08,13.17,12.61,12.95,13.13,22.05,21.88,1460.44,1415.86,used OG photo
412,LOW-2,1/11/23,132.2,171.3,39.1,2218.9,2010.7,208.2,507.3,2/5/23,850.3,1081.4,231.1,3069.5,2418.6,650.9,653.8,2/10/23,2.1757,2/19/23,39,14,2.1983,,78.30,79.18,82.29,78.74,79.92,12.32,12.49,11.73,12.18,12.41,22.82,22.60,1823.85,1779.13,
413,LOW-2,1/11/23,124.5,188.3,63.8,2229.2,2011.6,217.6,504.9,,,,,,,,,,,,,,,not growing,,,,,,,,,,,,,,,
414,LOW-2,1/11/23,131,217.2,86.2,1923.6,1632.3,291.3,406.2,2/4/23,1142.6,1523.5,380.9,2940.3,1827.8,1112.5,464.4,2/9/23,2.4086,2/17/23,37,13,2.3561,,70.64,71.48,75.57,71.06,72.56,12.91,13.00,12.19,12.70,12.96,22.30,22.05,1618.16,1566.52,
415,LOW-2,1/11/23,173.5,225.1,51.6,1965.6,1687.2,278.4,421.7,2/5/23,1099.8,1425.7,325.9,2528.5,1696.3,832.2,449.3,2/10/23,2.7533,2/17/23,37,12,2.836,,80.58,81.25,83.82,80.92,81.88,10.49,10.70,9.90,10.36,10.60,24.64,24.41,2017.33,1974.73,
416,LOW-2,1/9/23,,,,,,,,2/11/23,,,,,,,,2/15/23,1.6935,2/25/23,47,14,2.0876,,78.82,79.71,83.40,79.27,80.64,10.80,10.86,10.00,10.55,10.83,24.45,24.17,1971.46,1915.84,used photo B
417,LOW-2,1/9/23,,,,,,,,2/4/23,,,,,,,,2/9/23,2.3499,2/17/23,39,13,2.3922,,73.87,74.61,77.80,74.24,75.43,13.14,13.31,12.33,12.93,13.23,22.07,21.78,1664.92,1616.58,
418,LOW-2,1/9/23,,,,,,,,2/4/23,870.4,1103.1,232.7,2537.7,1755.2,782.5,448.7,2/9/23,2.5643,2/16/23,38,12,2.7753,,69.82,70.30,74.90,70.06,71.67,12.78,12.85,12.27,12.63,12.82,22.37,22.19,1603.09,1554.28,
419,LOW-2,1/9/23,,,,,,,,2/5/23,843.5,1127.5,284,2963,2143.8,819.2,568.9,2/10/23,1.9402,2/18/23,40,13,2.0551,,76.32,77.03,80.49,76.68,77.95,11.43,11.59,10.76,11.26,11.51,23.74,23.49,1850.45,1801.10,used photo B
420,LOW-2,1/9/23,,,,,,,,2/3/23,,,,,,,,2/8/23,2.0939,2/18/23,40,15,2.7199,,81.37,81.90,84.28,81.64,82.52,10.46,10.71,10.05,10.41,10.59,24.59,24.42,2029.36,1993.12,used photo B
421,LOW-2,1/9/23,,,,,,,,,,,,,,,,,,,,,,not developing,,,,,,,,,,,,,,,
422,LOW-2,1/9/23,,,,,,,,2/8/23,,,,,,,,2/13/23,2.9666,2/22/23,44,14,3.3983,,87.77,88.15,89.76,87.96,88.56,9.14,9.21,8.39,8.91,9.18,26.09,25.83,2310.24,2271.57,used photo B
423,LOW-2,1/9/23,,,,,,,,2/8/23,,,,,,,,2/13/23,2.0209,2/22/23,44,14,2.7742,,87.29,87.66,89.47,87.48,88.14,13.21,13.45,12.49,13.05,13.33,21.95,21.67,1934.67,1895.58,used photo C
424,LOW-2,1/9/23,,,,,,,,,,,,,,,,,,,,,,not developing,,,,,,,,,,,,,,,
